Word           Frequency      Posting List   
be             29             [(1, 797), (1, 2150), (1, 3654), (1, 5709), (1, 6786), (1, 7458), (1, 8193), (1, 8353), (1, 8457), (1, 8620), (1, 9536), (1, 9714), (1, 10041), (1, 10120), (1, 10929), (1, 11265), (1, 11933), (1, 19520), (2, 2462), (2, 3343), (2, 3985), (2, 4457), (2, 4560), (2, 10509), (2, 10656), (2, 10846), (2, 11593), (2, 12683), (2, 14347)]

beach          1              [(2, 17751)]   

beacon         1              [(1, 14448)]   

bear           3              [(1, 7253), (1, 7409), (1, 7623)]

beautiful      1              [(1, 3466)]    

beauty         1              [(1, 4073)]    

became         4              [(1, 2236), (1, 3348), (1, 4387), (1, 5984)]

because        5              [(1, 4484), (1, 5943), (1, 6560), (1, 11218), (2, 13636)]

become         1              [(2, 11750)]   

bed            1              [(1, 12182)]   

been           12             [(1, 472), (1, 2486), (1, 6434), (1, 10271), (2, 544), (2, 3833), (2, 4241), (2, 7441), (2, 10966), (2, 15132), (2, 15672), (2, 16986)]

before         1              [(1, 11872)]   

beginning      1              [(2, 7497)]    

begins         1              [(2, 2987)]    

behind         1              [(1, 10583)]   

being          4              [(1, 1797), (2, 5904), (2, 13727), (2, 16866)]

beliefs        2              [(2, 1928), (2, 16460)]

believed       1              [(2, 16582)]   

belong         1              [(2, 117)]     

belonged       1              [(2, 9942)]    

below          1              [(1, 8442)]    

bergen         1              [(1, 14353)]   

bernard        2              [(2, 18542), (2, 22494)]

bernhard       1              [(2, 21409)]   

berrueta       1              [(1, 18585)]   

berry          1              [(2, 3862)]    

better         1              [(1, 5338)]    

between        9              [(1, 2552), (1, 2700), (1, 13695), (2, 717), (2, 3889), (2, 6059), (2, 6850), (2, 8720), (2, 19245)]

beverages      1              [(1, 10106)]   

bible          1              [(1, 15355)]   

bibliography   2              [(2, 1980), (2, 26214)]

bigbusiness    1              [(2, 20788)]   

bill           1              [(2, 25277)]   

binary         1              [(2, 989)]     

biography      1              [(1, 15500)]   

biolib         1              [(1, 19862)]   

biology        1              [(2, 26421)]   

biosynthesis   1              [(1, 18686)]   

birchapple     1              [(1, 11059)]   

bitter         1              [(1, 2923)]    

bl             1              [(2, 21836)]   

black          2              [(2, 1744), (2, 12566)]

blade          1              [(2, 2623)]    

blake          1              [(2, 21809)]   

blenheim       1              [(1, 8067)]    

bloom          1              [(1, 6951)]    

blooming       1              [(1, 5593)]    

blossom        3              [(1, 1473), (1, 6638), (1, 6972)]

blossoms       1              [(1, 1357)]    

blue           1              [(2, 10476)]   

bluggoe        1              [(2, 27249)]   

boa            1              [(2, 23181)]   

bob            3              [(1, 16531), (2, 20972), (2, 21014)]

bocs           2              [(2, 18409), (2, 22369)]

boiled         2              [(2, 14895), (2, 15246)]

bonnier        1              [(2, 25130)]   

bonum          1              [(1, 4321)]    

book           2              [(1, 15482), (2, 22791)]

books          1              [(1, 19420)]   

booksgooglecom 2              [(1, 15418), (1, 15510)]

borkh          1              [(1, 217)]     

botanical      4              [(1, 912), (1, 1335), (1, 13460), (2, 4749)]

botany         3              [(1, 13453), (1, 16480), (1, 19321)]

both           7              [(2, 1309), (2, 4678), (2, 4827), (2, 6018), (2, 6153), (2, 11972), (2, 14543)]

